date_local,time_range_local,expected,actual,solar_term_id,crossing_utc
05.01.25,7:00 - 9:00,"甲,辰,丙,子,甲,戌,戊,辰","甲,辰,丁,丑,甲,戌,戊,辰",23,2025-01-05T02:33:00+00:00
03.02.25,19:00 - 21:00,"甲,辰,丁,丑,癸,卯,壬,戌","乙,巳,戊,寅,癸,卯,壬,戌",1,2025-02-03T14:10:00+00:00
05.03.25,13:00 - 15:00,"乙,巳,戊,寅,癸,酉,己,未","乙,巳,己,卯,癸,酉,己,未",3,2025-03-05T08:07:00+00:00
04.04.25,17:00 - 19:00,"乙,巳,己,卯,癸,卯,辛,酉","乙,巳,庚,辰,癸,卯,辛,酉",5,2025-04-04T12:49:00+00:00
05.05.25,9:00 - 11:00,"乙,巳,庚,辰,甲,戌,己,巳","乙,巳,辛,巳,甲,戌,己,巳",7,2025-05-05T05:57:00+00:00
05.05.25,11:00 - 13:00,"乙,巳,庚,辰,甲,戌,庚,午","乙,巳,辛,巳,甲,戌,庚,午",7,2025-05-05T05:57:00+00:00
05.06.25,13:00 - 15:00,"乙,巳,辛,巳,乙,巳,癸,未","乙,巳,壬,午,乙,巳,癸,未",9,2025-06-05T09:57:00+00:00
05.06.25,15:00 - 17:00,"乙,巳,辛,巳,乙,巳,甲,申","乙,巳,壬,午,乙,巳,甲,申",9,2025-06-05T09:57:00+00:00
07.07.25,1:00 - 3:00,"乙,巳,壬,午,丁,丑,辛,丑","乙,巳,癸,未,丁,丑,辛,丑",11,2025-07-06T20:05:00+00:00
07.08.25,9:00 - 11:00,"乙,巳,癸,未,戊,申,丁,巳","乙,巳,甲,申,戊,申,丁,巳",13,2025-08-07T05:52:00+00:00
07.08.25,11:00 - 13:00,"乙,巳,癸,未,戊,申,戊,午","乙,巳,甲,申,戊,申,戊,午",13,2025-08-07T05:52:00+00:00
07.09.25,13:00 - 15:00,"乙,巳,甲,申,己,卯,辛,未","乙,巳,乙,酉,己,卯,辛,未",15,2025-09-07T08:52:00+00:00
08.10.25,5:00 - 7:00,"乙,巳,乙,酉,庚,戌,己,卯","乙,巳,丙,戌,庚,戌,己,卯",17,2025-10-08T00:41:00+00:00
07.11.25,9:00 - 11:00,"乙,巳,丙,戌,庚,辰,辛,巳","乙,巳,丁,亥,庚,辰,辛,巳",19,2025-11-07T04:04:00+00:00
07.12.25,1:00 - 3:00,"乙,巳,丁,亥,庚,戌,丁,丑","乙,巳,戊,子,庚,戌,丁,丑",21,2025-12-06T21:05:00+00:00
07.12.25,3:00 - 5:00,"乙,巳,丁,亥,庚,戌,戊,寅","乙,巳,戊,子,庚,戌,戊,寅",21,2025-12-06T21:05:00+00:00
05.01.26,13:00 - 15:00,"乙,巳,戊,子,己,卯,辛,未","乙,巳,己,丑,己,卯,辛,未",23,2026-01-05T08:23:00+00:00
04.02.26,1:00 - 3:00,"乙,巳,己,丑,己,酉,乙,丑","丙,午,庚,寅,己,酉,乙,丑",1,2026-02-03T20:02:00+00:00
05.03.26,17:00 - 19:00,"丙,午,庚,寅,戊,寅,辛,酉","丙,午,辛,卯,戊,寅,辛,酉",3,2026-03-05T13:59:00+00:00
05.03.26,19:00 - 21:00,"丙,午,庚,寅,戊,寅,壬,戌","丙,午,辛,卯,戊,寅,壬,戌",3,2026-03-05T13:59:00+00:00
05.04.26,23:00 (пред.дня) - 1:00,"丙,午,辛,卯,己,酉,甲,子","丙,午,壬,辰,己,酉,甲,子",5,2026-04-04T18:40:00+00:00
05.05.26,15:00 - 17:00,"丙,午,壬,辰,己,卯,壬,申","丙,午,癸,巳,己,卯,壬,申",7,2026-05-05T11:49:00+00:00
05.05.26,17:00 - 19:00,"丙,午,壬,辰,己,卯,癸,酉","丙,午,癸,巳,己,卯,癸,酉",7,2026-05-05T11:49:00+00:00
05.06.26,19:00 - 21:00,"丙,午,癸,巳,庚,戌,丙,戌","丙,午,甲,午,庚,戌,丙,戌",9,2026-06-05T15:48:00+00:00
05.06.26,21:00 - 23:00,"丙,午,癸,巳,庚,戌,丁,亥","丙,午,甲,午,庚,戌,丁,亥",9,2026-06-05T15:48:00+00:00
07.07.26,5:00 - 7:00,"丙,午,甲,午,壬,午,癸,卯","丙,午,乙,未,壬,午,癸,卯",11,2026-07-07T01:57:00+00:00
07.07.26,7:00 - 9:00,"丙,午,甲,午,壬,午,甲,辰","丙,午,乙,未,壬,午,甲,辰",11,2026-07-07T01:57:00+00:00
07.08.26,15:00 - 17:00,"丙,午,乙,未,癸,丑,庚,申","丙,午,丙,申,癸,丑,庚,申",13,2026-08-07T11:43:00+00:00
07.08.26,17:00 - 19:00,"丙,午,乙,未,癸,丑,辛,酉","丙,午,丙,申,癸,丑,辛,酉",13,2026-08-07T11:43:00+00:00
07.09.26,19:00 - 21:00,"丙,午,丙,申,甲,申,甲,戌","丙,午,丁,酉,甲,申,甲,戌",15,2026-09-07T14:41:00+00:00
08.10.26,11:00 - 13:00,"丙,午,丁,酉,乙,卯,壬,午","丙,午,戊,戌,乙,卯,壬,午",17,2026-10-08T06:29:00+00:00
07.11.26,13:00 - 15:00,"丙,午,戊,戌,乙,酉,癸,未","丙,午,己,亥,乙,酉,癸,未",19,2026-11-07T09:52:00+00:00
07.11.26,15:00 - 17:00,"丙,午,戊,戌,乙,酉,甲,申","丙,午,己,亥,乙,酉,甲,申",19,2026-11-07T09:52:00+00:00
07.12.26,7:00 - 9:00,"丙,午,己,亥,乙,卯,庚,辰","丙,午,庚,子,乙,卯,庚,辰",21,2026-12-07T02:53:00+00:00
