source,tz_offset_hours,season_number,local_date,local_time,dt_utc
bazci_control_02.md,8,1,05.01.2025,10:33,2025-01-05T02:33:00+00:00
bazci_control_02.md,8,2,20.01.2025,04:00,2025-01-19T20:00:00+00:00
bazci_control_02.md,8,3,03.02.2025,22:10,2025-02-03T14:10:00+00:00
bazci_control_02.md,8,4,18.02.2025,18:07,2025-02-18T10:07:00+00:00
bazci_control_02.md,8,5,05.03.2025,16:07,2025-03-05T08:07:00+00:00
bazci_control_02.md,8,6,20.03.2025,17:01,2025-03-20T09:01:00+00:00
bazci_control_02.md,8,7,04.04.2025,20:49,2025-04-04T12:49:00+00:00
bazci_control_02.md,8,8,20.04.2025,03:56,2025-04-19T19:56:00+00:00
bazci_control_02.md,8,9,05.05.2025,13:57,2025-05-05T05:57:00+00:00
bazci_control_02.md,8,10,21.05.2025,02:55,2025-05-20T18:55:00+00:00
bazci_control_02.md,8,11,05.06.2025,17:57,2025-06-05T09:57:00+00:00
bazci_control_02.md,8,12,21.06.2025,10:42,2025-06-21T02:42:00+00:00
bazci_control_02.md,8,13,07.07.2025,04:05,2025-07-06T20:05:00+00:00
bazci_control_02.md,8,14,22.07.2025,21:29,2025-07-22T13:29:00+00:00
bazci_control_02.md,8,15,07.08.2025,13:52,2025-08-07T05:52:00+00:00
bazci_control_02.md,8,16,23.08.2025,04:34,2025-08-22T20:34:00+00:00
bazci_control_02.md,8,17,07.09.2025,16:52,2025-09-07T08:52:00+00:00
bazci_control_02.md,8,18,23.09.2025,02:19,2025-09-22T18:19:00+00:00
bazci_control_02.md,8,19,08.10.2025,08:41,2025-10-08T00:41:00+00:00
bazci_control_02.md,8,20,23.10.2025,11:51,2025-10-23T03:51:00+00:00
bazci_control_02.md,8,21,07.11.2025,12:04,2025-11-07T04:04:00+00:00
bazci_control_02.md,8,22,22.11.2025,09:36,2025-11-22T01:36:00+00:00
bazci_control_02.md,8,23,07.12.2025,05:05,2025-12-06T21:05:00+00:00
bazci_control_02.md,8,24,21.12.2025,23:03,2025-12-21T15:03:00+00:00
bazci_control_02.md,8,1,05.01.2026,16:23,2026-01-05T08:23:00+00:00
bazci_control_02.md,8,2,20.01.2026,09:45,2026-01-20T01:45:00+00:00
bazci_control_02.md,8,3,04.02.2026,04:02,2026-02-03T20:02:00+00:00
bazci_control_02.md,8,4,18.02.2026,23:52,2026-02-18T15:52:00+00:00
bazci_control_02.md,8,5,05.03.2026,21:59,2026-03-05T13:59:00+00:00
bazci_control_02.md,8,6,20.03.2026,22:46,2026-03-20T14:46:00+00:00
bazci_control_02.md,8,7,05.04.2026,02:40,2026-04-04T18:40:00+00:00
bazci_control_02.md,8,8,20.04.2026,09:39,2026-04-20T01:39:00+00:00
bazci_control_02.md,8,9,05.05.2026,19:49,2026-05-05T11:49:00+00:00
bazci_control_02.md,8,10,21.05.2026,08:37,2026-05-21T00:37:00+00:00
bazci_control_02.md,8,11,05.06.2026,23:48,2026-06-05T15:48:00+00:00
bazci_control_02.md,8,12,21.06.2026,16:25,2026-06-21T08:25:00+00:00
bazci_control_02.md,8,13,07.07.2026,09:57,2026-07-07T01:57:00+00:00
bazci_control_02.md,8,14,23.07.2026,03:13,2026-07-22T19:13:00+00:00
bazci_control_02.md,8,15,07.08.2026,19:43,2026-08-07T11:43:00+00:00
bazci_control_02.md,8,16,23.08.2026,10:19,2026-08-23T02:19:00+00:00
bazci_control_02.md,8,17,07.09.2026,22:41,2026-09-07T14:41:00+00:00
bazci_control_02.md,8,18,23.09.2026,08:05,2026-09-23T00:05:00+00:00
bazci_control_02.md,8,19,08.10.2026,14:29,2026-10-08T06:29:00+00:00
bazci_control_02.md,8,20,23.10.2026,17:38,2026-10-23T09:38:00+00:00
bazci_control_02.md,8,21,07.11.2026,17:52,2026-11-07T09:52:00+00:00
bazci_control_02.md,8,22,22.11.2026,15:23,2026-11-22T07:23:00+00:00
bazci_control_02.md,8,23,07.12.2026,10:53,2026-12-07T02:53:00+00:00
bazci_control_02.md,8,24,22.12.2026,04:50,2026-12-21T20:50:00+00:00
bazci_control_02.md,8,1,05.01.2027,22:10,2027-01-05T14:10:00+00:00
bazci_control_02.md,8,2,20.01.2027,15:30,2027-01-20T07:30:00+00:00
bazci_control_02.md,8,3,04.02.2027,09:46,2027-02-04T01:46:00+00:00
bazci_control_02.md,8,4,19.02.2027,05:33,2027-02-18T21:33:00+00:00
bazci_control_02.md,8,5,06.03.2027,03:40,2027-03-05T19:40:00+00:00
bazci_control_02.md,8,6,21.03.2027,04:25,2027-03-20T20:25:00+00:00
bazci_control_02.md,8,7,05.04.2027,08:17,2027-04-05T00:17:00+00:00
bazci_control_02.md,8,8,20.04.2027,15:18,2027-04-20T07:18:00+00:00
bazci_control_02.md,8,9,06.05.2027,01:25,2027-05-05T17:25:00+00:00
bazci_control_02.md,8,10,21.05.2027,14:18,2027-05-21T06:18:00+00:00
bazci_control_02.md,8,11,06.06.2027,05:26,2027-06-05T21:26:00+00:00
bazci_control_02.md,8,12,21.06.2027,22:11,2027-06-21T14:11:00+00:00
bazci_control_02.md,8,13,07.07.2027,15:37,2027-07-07T07:37:00+00:00
bazci_control_02.md,8,14,23.07.2027,09:05,2027-07-23T01:05:00+00:00
bazci_control_02.md,8,15,08.08.2027,01:27,2027-08-07T17:27:00+00:00
bazci_control_02.md,8,16,23.08.2027,16:14,2027-08-23T08:14:00+00:00
bazci_control_02.md,8,17,08.09.2027,04:28,2027-09-07T20:28:00+00:00
bazci_control_02.md,8,18,23.09.2027,14:02,2027-09-23T06:02:00+00:00
bazci_control_02.md,8,19,08.10.2027,20:17,2027-10-08T12:17:00+00:00
bazci_control_02.md,8,20,23.10.2027,23:33,2027-10-23T15:33:00+00:00
bazci_control_02.md,8,21,07.11.2027,23:39,2027-11-07T15:39:00+00:00
bazci_control_02.md,8,22,22.11.2027,21:16,2027-11-22T13:16:00+00:00
bazci_control_02.md,8,23,07.12.2027,16:38,2027-12-07T08:38:00+00:00
bazci_control_02.md,8,24,22.12.2027,10:42,2027-12-22T02:42:00+00:00
